experimentId,variable1,variable2,outcomeMeasure,experimentDate,location,researcherId,controlFlag,anomalyFlag
E2458,0,Type B,44,2024-08-16,Lab 3,R1623,false,false
E2459,59,Type B,117,2024-06-11,Lab 2,R4702,false,false
E2460,14,Type A,169.20000000000002,2025-05-17,Lab 4,R7970,true,false
E2461,41,Type D,187,2024-09-01,Lab 2,R2786,false,false
E2462,42,Type D,152,2025-03-15,Lab 4,R1306,false,false
E2463,40,Type A,167,2024-11-10,Lab 2,R9771,false,false
E2464,8,Type B,267,2024-10-23,Lab 2,R2968,false,true
E2465,31,Type A,84.60000000000001,2024-10-09,Lab 2,R5152,true,false
E2466,71,Type B,39,2024-08-22,Lab 4,R5883,false,false
E2467,96,Type B,156,2024-06-02,Lab 2,R1453,false,false
E2468,22,Type D,166,2024-11-02,Lab 4,R9403,false,false
E2469,54,Type B,131,2025-01-31,Lab 3,R5883,false,false
E2470,83,Type C,59,2025-04-19,Lab 4,R4405,false,false
E2471,40,Type B,29,2025-04-14,Lab 3,R9797,false,false
E2472,91,Type C,121.5,2025-01-13,Lab 2,R4885,true,false
E2473,38,Type D,51,2025-05-07,Lab 4,R4207,false,false
E2474,69,Type A,129,2025-02-08,Lab 2,R9953,false,false
E2475,55,Type C,135,2024-11-19,Lab 2,R9394,false,false
E2476,45,Type D,116,2025-03-18,Lab 1,R4564,false,false
E2477,42,Type C,175,2024-11-29,Lab 3,R5257,false,false
E2478,4,Type A,99,2024-12-07,Lab 4,R8331,false,false
E2479,10,Type B,117.9,2025-05-07,Lab 3,R5887,true,false
E2480,34,Type D,113.4,2024-12-31,Lab 2,R6869,true,false
E2481,41,Type B,90,2025-02-28,Lab 1,R2680,false,false
E2482,70,Type C,12,2024-06-14,Lab 1,R2213,false,false
E2483,8,Type B,147.6,2025-03-13,Lab 3,R4482,true,false
E2484,21,Type D,123,2025-02-24,Lab 4,R1675,false,false
E2485,5,Type C,51,2024-07-15,Lab 1,R5623,false,false
E2486,67,Type B,66,2025-02-13,Lab 4,R5152,false,false
E2487,17,Type A,22,2025-02-13,Lab 4,R7945,false,false
E2488,36,Type C,177,2024-07-31,Lab 1,R3617,false,true
E2489,11,Type B,199,2025-02-04,Lab 2,R9549,false,false
E2490,35,Type C,163,2024-08-11,Lab 3,R8418,false,false
E2491,37,Type C,133.20000000000002,2024-07-26,Lab 2,R3387,true,false
E2492,77,Type C,105,2024-08-07,Lab 4,R3094,false,false
E2493,47,Type D,25,2024-08-05,Lab 3,R9227,false,false
E2494,28,Type A,146,2025-02-12,Lab 4,R2987,false,false
E2495,2,Type A,29,2025-03-09,Lab 2,R3143,false,false
E2496,79,Type C,93,2024-11-18,Lab 4,R6343,false,false
E2497,3,Type A,127,2024-07-10,Lab 1,R3246,false,false
E2498,24,Type D,11,2024-12-10,Lab 3,R4890,false,false
E2499,70,Type A,186,2024-06-14,Lab 1,R3734,false,false
E2500,29,Type B,17,2024-07-21,Lab 1,R7577,false,false
E2501,85,Type D,64,2024-07-31,Lab 1,R7483,false,false
E2502,94,Type D,80,2025-01-21,Lab 3,R4142,false,false
E2503,6,Type A,98,2024-11-02,Lab 2,R4965,false,false
E2504,21,Type D,80,2024-08-09,Lab 3,R1130,false,false
E2505,98,Type D,58,2024-12-09,Lab 3,R1547,false,false
E2506,14,Type A,93.60000000000001,2024-12-15,Lab 2,R3178,true,false
E2507,100,Type A,31.5,2025-03-15,Lab 1,R6560,true,false
E2508,16,Type D,70,2025-02-15,Lab 1,R7343,false,false
E2509,88,Type A,193,2024-10-23,Lab 1,R5174,false,false
E2510,71,Type D,119,2024-08-29,Lab 4,R4114,false,false
E2511,43,Type B,66,2024-06-18,Lab 2,R1728,false,false
E2512,73,Type D,83,2025-05-16,Lab 4,R5627,false,false
E2513,7,Type C,149.4,2024-07-27,Lab 2,R9242,true,false
E2514,24,Type B,190,2024-12-11,Lab 3,R2370,false,false
E2515,51,Type A,113,2024-10-17,Lab 1,R1885,false,false
E2516,70,Type B,168.3,2025-04-27,Lab 2,R1736,true,false
E2517,86,Type C,177,2024-07-13,Lab 3,R4349,false,false
E2518,63,Type B,188,2025-01-17,Lab 1,R5665,false,false
E2519,96,Type B,180,2025-04-03,Lab 2,R2984,false,true
E2520,81,Type D,54,2024-10-09,Lab 1,R2423,false,false
E2521,61,Type B,104,2025-02-07,Lab 4,R9223,false,false
E2522,56,Type A,102,2025-05-13,Lab 3,R4805,false,false
E2523,15,Type C,143,2025-01-09,Lab 2,R1870,false,false
E2524,62,Type A,2,2025-03-01,Lab 2,R4663,false,false
E2525,60,Type B,112,2025-03-29,Lab 3,R2375,false,false
E2526,83,Type D,160,2025-02-05,Lab 1,R3118,false,false
E2527,45,Type D,44,2025-05-24,Lab 2,R9724,false,false
E2528,60,Type C,18,2025-04-02,Lab 4,R9203,false,false
E2529,61,Type B,264,2025-04-10,Lab 2,R8877,false,true
E2530,52,Type C,118,2025-04-15,Lab 3,R6850,false,false
E2531,89,Type B,134,2025-02-06,Lab 2,R1266,false,false
E2532,75,Type C,32,2024-06-07,Lab 4,R4897,false,false
E2533,53,Type C,39,2025-02-22,Lab 2,R7304,false,false
E2534,87,Type B,108,2025-05-08,Lab 1,R2672,false,false
E2535,30,Type A,97,2025-01-25,Lab 2,R7849,false,false
E2536,87,Type D,10,2025-05-02,Lab 3,R2576,false,false
E2537,50,Type D,98,2024-06-12,Lab 4,R7220,false,false
E2538,37,Type D,48,2025-01-17,Lab 4,R5321,false,false
E2539,100,Type C,143.1,2025-03-11,Lab 3,R5374,true,false
E2540,90,Type B,15,2025-04-05,Lab 2,R2330,false,false
E2541,66,Type A,97.2,2025-02-24,Lab 1,R2860,true,false
E2542,55,Type D,151,2024-09-20,Lab 2,R4157,false,false
E2543,74,Type B,65,2025-01-25,Lab 1,R1683,false,false
E2544,59,Type A,78,2025-05-12,Lab 3,R7462,false,false
E2545,78,Type D,126,2024-10-11,Lab 2,R7809,false,false
E2546,70,Type D,37,2024-06-16,Lab 3,R7060,false,false
E2547,19,Type C,18,2025-05-11,Lab 3,R5387,false,false
E2548,74,Type C,44,2025-04-27,Lab 1,R2113,false,false
E2549,96,Type A,170,2024-10-05,Lab 4,R5439,false,false
E2550,54,Type C,86,2024-06-24,Lab 3,R9199,false,false
E2551,95,Type C,108,2025-04-30,Lab 2,R7866,false,false
E2552,30,Type D,49,2024-08-21,Lab 3,R4681,false,false
E2553,57,Type B,7.2,2024-10-10,Lab 1,R4882,true,false
E2554,25,Type C,158,2025-03-26,Lab 4,R3430,false,false
E2555,94,Type D,46,2025-04-24,Lab 2,R8803,false,false
E2556,32,Type D,179,2025-02-28,Lab 2,R3150,false,false
E2557,27,Type C,144,2025-02-28,Lab 4,R7172,true,false
E2558,32,Type A,77,2024-11-10,Lab 4,R3408,false,false
E2559,83,Type B,124,2024-10-24,Lab 1,R8761,false,false
E2560,46,Type B,101,2024-08-08,Lab 1,R1950,false,false
E2561,28,Type B,131,2025-01-16,Lab 2,R8050,false,false
E2562,64,Type C,83,2025-05-07,Lab 2,R2733,false,false
E2563,15,Type A,63,2024-12-02,Lab 1,R4135,false,false
E2564,6,Type D,119,2025-05-09,Lab 2,R8056,false,false
E2565,0,Type C,30.6,2024-10-28,Lab 1,R5029,true,false
E2566,71,Type B,152,2024-11-10,Lab 2,R8397,false,false
E2567,37,Type B,54,2025-03-29,Lab 4,R3848,false,false
E2568,2,Type A,132,2024-07-08,Lab 1,R5054,false,false
E2569,18,Type A,72,2024-11-06,Lab 2,R2192,true,false
E2570,95,Type C,26,2024-07-07,Lab 3,R6807,false,false
E2571,4,Type C,108,2025-05-11,Lab 3,R1108,false,false
E2572,94,Type C,131,2024-11-18,Lab 3,R5013,false,false
E2573,67,Type A,32,2025-02-08,Lab 2,R7861,false,false
E2574,59,Type D,156,2024-10-15,Lab 4,R4385,false,false
E2575,90,Type B,176,2024-06-07,Lab 2,R8805,false,false
E2576,52,Type D,133,2024-07-02,Lab 4,R6268,false,false
E2577,45,Type A,49,2025-03-22,Lab 3,R8329,false,false
E2578,84,Type C,91,2024-12-04,Lab 1,R4308,false,false
E2579,86,Type B,35,2024-12-17,Lab 4,R6293,false,false
E2580,99,Type B,6,2025-03-18,Lab 3,R7342,false,false
E2581,82,Type C,177.3,2025-02-04,Lab 3,R5804,true,false
E2582,14,Type A,150,2025-04-13,Lab 3,R8429,false,false
E2583,62,Type C,60,2024-07-26,Lab 4,R6771,false,false
E2584,17,Type C,178.20000000000002,2024-08-01,Lab 2,R4150,true,false
E2585,96,Type A,99,2024-12-24,Lab 2,R9345,true,false
E2586,41,Type D,50.4,2024-07-02,Lab 4,R8373,true,false
E2587,44,Type A,70,2024-08-28,Lab 4,R5296,false,false
E2588,41,Type C,173,2024-10-28,Lab 4,R1235,false,false
E2589,89,Type C,50,2024-09-24,Lab 2,R2099,false,false
E2590,83,Type A,41,2024-09-22,Lab 1,R3796,false,false
E2591,94,Type A,106.2,2025-01-17,Lab 1,R5497,true,false
E2592,7,Type A,123,2024-09-19,Lab 3,R3224,false,false
E2593,80,Type C,42.300000000000004,2025-02-17,Lab 1,R3721,true,false
E2594,69,Type B,152,2025-03-12,Lab 2,R1513,false,false
E2595,82,Type A,552,2024-08-16,Lab 3,R8398,false,true
E2596,44,Type B,17,2025-05-04,Lab 4,R6938,false,false
E2597,58,Type D,92.7,2025-05-08,Lab 1,R3832,true,false
E2598,100,Type B,163,2024-07-05,Lab 2,R3943,false,false
E2599,64,Type B,77.4,2024-09-21,Lab 1,R4949,true,false
E2600,88,Type C,150,2024-06-21,Lab 4,R7490,false,false
E2601,70,Type A,193,2025-04-09,Lab 1,R7441,false,false
E2602,6,Type B,195,2025-01-08,Lab 2,R1215,false,false
E2603,37,Type A,43,2025-01-27,Lab 2,R4895,false,false
E2604,64,Type B,134,2024-12-28,Lab 4,R5548,false,false
E2605,5,Type A,103,2024-06-12,Lab 1,R9592,false,false
E2606,75,Type C,99,2025-05-12,Lab 2,R5317,false,false
E2607,75,Type D,138,2024-10-05,Lab 2,R8129,false,false
E2608,57,Type D,92,2025-01-06,Lab 1,R8618,false,false
E2609,86,Type D,86,2025-04-02,Lab 3,R4055,false,false
E2610,6,Type B,163,2025-03-07,Lab 3,R8484,false,false
E2611,31,Type C,7,2024-10-05,Lab 1,R8439,false,false
E2612,52,Type B,179,2024-09-12,Lab 1,R9040,false,false
E2613,10,Type D,32,2025-05-12,Lab 1,R6700,false,false
E2614,66,Type C,80,2024-06-11,Lab 3,R8469,false,false
E2615,65,Type B,51,2024-07-20,Lab 4,R2983,false,false
E2616,79,Type D,7.2,2025-02-06,Lab 1,R2337,true,false
E2617,89,Type B,159,2025-01-03,Lab 2,R6536,false,false
E2618,18,Type C,196,2024-08-23,Lab 3,R1277,false,false
E2619,96,Type D,141,2025-03-24,Lab 3,R4361,false,false
E2620,5,Type B,139,2024-09-19,Lab 2,R3656,false,false
E2621,83,Type A,64,2024-10-02,Lab 1,R5125,false,false
E2622,96,Type C,143,2025-04-09,Lab 3,R8070,false,false
E2623,94,Type A,29,2025-02-06,Lab 2,R1812,false,false
E2624,9,Type D,173,2024-10-13,Lab 2,R3359,false,false
E2625,95,Type B,4,2025-03-20,Lab 1,R7035,false,false
E2626,39,Type D,199,2024-09-19,Lab 1,R9243,false,false
E2627,83,Type A,185,2024-10-04,Lab 3,R8610,false,false
E2628,34,Type D,134,2025-05-08,Lab 4,R9849,false,false
E2629,43,Type A,162.9,2024-10-16,Lab 4,R8262,true,false
E2630,57,Type D,38,2025-02-25,Lab 3,R6630,false,false
E2631,84,Type C,81,2024-11-07,Lab 2,R4419,false,false
E2632,31,Type C,70,2024-08-26,Lab 4,R4640,false,false
E2633,24,Type B,9,2025-03-26,Lab 4,R9725,true,false
E2634,14,Type A,82,2025-02-04,Lab 2,R4725,false,false
E2635,99,Type D,137.70000000000002,2024-07-12,Lab 2,R4693,true,false
E2636,31,Type C,25,2025-04-24,Lab 1,R9211,false,false
E2637,41,Type A,15,2024-11-24,Lab 3,R2728,false,false
E2638,24,Type C,162,2024-09-16,Lab 2,R5647,false,false
E2639,36,Type A,52,2024-10-21,Lab 4,R4942,false,false
E2640,33,Type A,136.8,2024-06-21,Lab 1,R8367,true,false
E2641,39,Type D,64,2024-09-11,Lab 4,R7482,false,false
E2642,11,Type D,139,2024-11-15,Lab 2,R2124,false,false
E2643,45,Type A,71,2024-08-22,Lab 3,R2609,false,false
E2644,25,Type D,197,2024-07-17,Lab 3,R5426,false,false
E2645,66,Type A,77,2024-10-02,Lab 1,R7014,false,false
E2646,48,Type C,8,2024-12-13,Lab 3,R4549,false,false
E2647,95,Type D,158,2024-11-28,Lab 2,R9840,false,false
E2648,99,Type B,150,2025-01-15,Lab 1,R7692,false,false
E2649,100,Type D,362,2024-07-18,Lab 4,R8991,false,true
E2650,43,Type B,34.2,2024-09-22,Lab 1,R2422,true,false
E2651,52,Type D,90,2024-09-14,Lab 4,R9981,false,false
E2652,51,Type C,126,2024-11-22,Lab 4,R9816,false,false
E2653,8,Type A,48,2024-10-20,Lab 1,R4378,false,false
E2654,46,Type D,126,2024-07-08,Lab 3,R7366,true,false
E2655,97,Type D,160,2024-09-15,Lab 4,R8510,false,false
E2656,13,Type A,55,2024-07-12,Lab 1,R1123,false,false
E2657,2,Type D,34,2024-09-18,Lab 3,R5118,false,false
E2658,30,Type B,96.3,2024-07-30,Lab 3,R3452,true,false
E2659,35,Type A,190,2024-08-16,Lab 3,R9014,false,false
E2660,39,Type B,92,2025-01-11,Lab 3,R8210,false,false
E2661,81,Type C,167,2025-05-07,Lab 2,R7374,false,false
E2662,26,Type D,64,2024-07-06,Lab 4,R2402,false,false
E2663,13,Type B,189,2025-03-22,Lab 2,R5590,false,false
E2664,99,Type A,46,2024-12-31,Lab 4,R2264,false,false
E2665,64,Type A,85,2024-10-02,Lab 1,R4476,false,false
E2666,20,Type B,83.7,2024-07-31,Lab 3,R7051,true,false
E2667,76,Type C,91,2024-07-31,Lab 1,R6159,false,false
E2668,42,Type D,157,2024-07-22,Lab 3,R7760,false,false
E2669,46,Type B,97,2024-08-24,Lab 2,R9950,false,false
E2670,75,Type B,441,2025-04-27,Lab 4,R7581,false,true
E2671,57,Type A,42,2025-01-21,Lab 1,R3327,false,false
E2672,1,Type A,8,2025-05-05,Lab 1,R9040,false,false
E2673,49,Type D,137,2024-06-18,Lab 1,R3732,false,false
E2674,49,Type A,73.8,2025-01-08,Lab 1,R1492,true,false
E2675,62,Type C,149,2024-08-25,Lab 1,R8714,false,false
E2676,45,Type C,188,2024-08-09,Lab 3,R1163,false,false
E2677,85,Type C,35,2025-04-03,Lab 3,R4406,false,false
E2678,63,Type D,118,2025-04-16,Lab 3,R9178,false,false
E2679,27,Type B,52,2024-12-10,Lab 1,R8031,false,false
E2680,85,Type D,104.4,2024-09-25,Lab 3,R6771,true,false
E2681,41,Type B,181,2024-12-02,Lab 2,R3493,false,false
E2682,57,Type B,64,2024-06-25,Lab 2,R2443,false,false
E2683,80,Type A,139,2024-06-27,Lab 4,R4952,false,false
E2684,76,Type A,47,2025-04-01,Lab 1,R3171,false,false
E2685,94,Type A,72.9,2024-10-21,Lab 3,R1391,true,false
E2686,19,Type C,106.2,2024-11-21,Lab 4,R8014,true,false
E2687,81,Type A,134,2024-10-04,Lab 3,R6560,false,false
E2688,64,Type D,68,2025-02-26,Lab 2,R8849,false,false
E2689,20,Type A,187,2025-03-15,Lab 3,R5338,false,false
E2690,44,Type D,19,2025-05-10,Lab 4,R5022,false,false
E2691,35,Type C,83,2025-04-14,Lab 2,R9557,false,false
E2692,9,Type A,7,2024-12-29,Lab 4,R7795,false,false
E2693,27,Type C,104,2024-06-24,Lab 4,R7285,false,false
E2694,78,Type A,47,2024-08-20,Lab 2,R5495,false,false
E2695,64,Type D,51,2024-09-17,Lab 2,R1395,false,false
E2696,88,Type A,68,2025-01-21,Lab 1,R1665,false,false
E2697,76,Type A,44,2024-09-21,Lab 4,R2405,false,false
E2698,80,Type D,162.9,2024-12-07,Lab 4,R2688,true,false
E2699,0,Type B,191,2025-02-14,Lab 4,R8790,false,false
E2700,63,Type D,183,2025-02-23,Lab 3,R5438,false,false
E2701,34,Type D,174,2025-02-12,Lab 1,R1053,false,false
E2702,86,Type D,195,2025-04-21,Lab 2,R1366,false,false
E2703,95,Type C,156,2025-03-05,Lab 1,R2230,false,false
E2704,27,Type A,100,2024-09-23,Lab 2,R5103,false,false
E2705,65,Type D,169,2024-08-16,Lab 2,R3032,false,false
E2706,24,Type C,117.9,2025-04-26,Lab 1,R3667,true,false
E2707,96,Type C,167,2024-10-20,Lab 1,R1278,false,false
E2708,78,Type A,57,2025-05-05,Lab 4,R6097,false,false
E2709,17,Type A,183,2024-06-20,Lab 1,R1457,false,false
E2710,17,Type A,48,2024-10-13,Lab 4,R3943,false,false
E2711,28,Type C,199,2024-07-24,Lab 2,R5929,false,false
E2712,32,Type A,68.4,2024-08-18,Lab 2,R9629,true,false
E2713,64,Type B,3.6,2024-12-22,Lab 2,R9126,true,false
E2714,35,Type B,140,2024-05-25,Lab 4,R8490,false,false
E2715,8,Type B,56,2025-04-12,Lab 1,R8249,false,false
E2716,40,Type B,65,2024-12-04,Lab 3,R1127,false,false
E2717,5,Type A,18,2024-08-31,Lab 1,R8036,false,false
E2718,1,Type A,159,2025-04-05,Lab 4,R4024,false,false
E2719,28,Type C,456,2024-11-13,Lab 4,R7164,false,true
E2720,18,Type C,7,2024-10-21,Lab 2,R6045,false,false
E2721,29,Type A,102.60000000000001,2024-08-12,Lab 4,R9311,true,false
E2722,100,Type A,130.5,2024-08-10,Lab 4,R6644,true,false
E2723,12,Type B,9,2024-12-01,Lab 2,R4658,true,false
E2724,2,Type C,162.9,2024-08-25,Lab 2,R9435,true,false
E2725,6,Type A,42,2024-12-04,Lab 1,R7970,false,false
E2726,43,Type C,132.3,2025-03-15,Lab 2,R7331,true,false
E2727,93,Type D,178.20000000000002,2025-02-19,Lab 4,R9592,true,false
E2728,3,Type B,164,2024-10-22,Lab 2,R4103,false,false
E2729,83,Type B,163,2025-02-22,Lab 4,R9061,false,false
E2730,19,Type A,49,2024-11-19,Lab 2,R9073,false,false
E2731,69,Type D,77,2024-07-03,Lab 4,R3006,false,false
E2732,27,Type D,7,2024-06-14,Lab 1,R5065,false,false
E2733,8,Type A,19,2024-07-05,Lab 1,R5158,false,false
E2734,90,Type B,39.6,2024-07-12,Lab 2,R7324,true,false
E2735,22,Type D,106,2025-05-16,Lab 3,R2274,false,false
E2736,20,Type A,42,2024-12-14,Lab 3,R2733,false,false
E2737,49,Type C,148,2025-04-23,Lab 2,R2691,false,false
E2738,36,Type A,110,2024-08-01,Lab 2,R4064,false,false
E2739,2,Type A,48,2024-07-24,Lab 1,R3429,false,false
E2740,80,Type B,116,2024-11-08,Lab 3,R6797,false,false
E2741,78,Type B,46,2024-11-10,Lab 3,R9861,false,false
E2742,60,Type D,81.9,2024-07-01,Lab 4,R3627,true,false
E2743,80,Type C,74,2024-10-06,Lab 2,R2787,false,false
E2744,95,Type B,113.4,2024-08-21,Lab 4,R4071,true,false
E2745,58,Type D,71,2024-07-12,Lab 4,R2228,false,false
E2746,45,Type C,198,2024-10-23,Lab 4,R3751,false,false
E2747,88,Type D,192,2024-08-10,Lab 3,R5284,false,false
E2748,3,Type C,151,2024-10-08,Lab 1,R5312,false,false
E2749,14,Type A,101.7,2024-11-20,Lab 3,R7957,true,false
E2750,53,Type C,96,2024-05-30,Lab 1,R9227,false,false
E2751,0,Type C,4,2024-05-28,Lab 4,R8089,false,false
E2752,0,Type C,123,2025-01-18,Lab 1,R7679,false,false
E2753,43,Type C,27,2024-07-28,Lab 1,R5217,false,false
E2754,12,Type A,61,2024-07-17,Lab 3,R1354,false,false
E2755,1,Type C,198,2024-09-30,Lab 1,R3694,false,false
E2756,82,Type D,9,2024-12-08,Lab 1,R5447,false,false
E2757,36,Type B,97,2024-10-14,Lab 4,R6192,false,false
E2758,8,Type A,143,2025-03-15,Lab 2,R1344,false,false
E2759,53,Type C,183,2024-07-02,Lab 2,R9076,false,false
E2760,50,Type D,195,2025-04-25,Lab 3,R1016,false,false
E2761,26,Type C,8,2024-08-21,Lab 1,R6613,false,false
E2762,89,Type B,108.9,2024-08-26,Lab 4,R4904,true,false
E2763,6,Type D,191,2024-08-02,Lab 1,R8359,false,false
E2764,12,Type B,92,2024-07-23,Lab 4,R2314,false,true
E2765,92,Type D,156,2025-05-14,Lab 3,R7164,false,false
E2766,87,Type A,4,2024-11-05,Lab 3,R4781,false,false
E2767,32,Type A,50,2024-12-26,Lab 1,R8191,false,false
E2768,22,Type B,70,2024-08-23,Lab 2,R6202,false,false
E2769,5,Type A,18.900000000000002,2025-01-12,Lab 1,R5874,true,false
E2770,99,Type A,39,2025-01-04,Lab 2,R2831,false,false
E2771,92,Type C,113,2024-10-09,Lab 2,R5423,false,false
E2772,12,Type C,36,2025-04-03,Lab 3,R6994,false,false
E2773,2,Type D,32,2025-05-11,Lab 4,R7380,false,false
E2774,15,Type D,23,2024-09-10,Lab 4,R5572,false,false
E2775,32,Type D,91,2025-04-27,Lab 1,R5436,false,false
E2776,93,Type C,150,2024-07-26,Lab 4,R8014,false,true
E2777,1,Type A,193,2024-12-07,Lab 4,R4173,false,false
E2778,46,Type D,129,2024-08-12,Lab 4,R3042,false,true
E2779,19,Type A,136,2024-06-29,Lab 3,R7358,false,false
E2780,51,Type B,144,2024-10-12,Lab 3,R6262,false,false
E2781,39,Type C,46,2024-07-03,Lab 1,R4890,false,false
E2782,17,Type A,168,2024-12-31,Lab 1,R3182,false,false
E2783,57,Type D,100,2025-01-21,Lab 3,R1403,false,false
E2784,88,Type A,56,2025-01-18,Lab 4,R2318,false,false
E2785,82,Type B,148,2025-05-17,Lab 3,R4557,false,false
E2786,56,Type C,54,2025-01-11,Lab 4,R6889,false,false
E2787,24,Type A,55,2025-01-04,Lab 1,R5402,false,false
E2788,49,Type D,19,2024-07-25,Lab 3,R1639,false,false
E2789,27,Type D,172,2025-01-13,Lab 2,R1835,false,false
E2790,35,Type C,134,2024-10-31,Lab 1,R2981,false,false
E2791,32,Type B,25,2025-01-15,Lab 2,R9636,false,false
E2792,33,Type C,146.70000000000002,2024-11-07,Lab 4,R1237,true,false
E2793,79,Type C,36,2024-10-24,Lab 3,R2831,false,false
E2794,28,Type C,43,2024-09-26,Lab 1,R6933,false,false
E2795,100,Type B,141.3,2024-11-08,Lab 4,R8979,true,false
E2796,23,Type B,115,2024-07-28,Lab 3,R2786,false,false
E2797,51,Type B,200,2025-01-15,Lab 1,R2503,false,false
E2798,68,Type A,9,2025-01-01,Lab 2,R3176,true,false
E2799,19,Type A,192,2024-09-26,Lab 1,R5493,false,false
E2800,26,Type B,59,2024-09-08,Lab 4,R4128,false,false
E2801,74,Type C,111,2025-01-06,Lab 4,R7193,false,false
E2802,96,Type B,98,2025-01-31,Lab 4,R7845,false,false
E2803,22,Type A,34,2025-04-01,Lab 2,R8206,false,false
E2804,94,Type A,87,2024-12-05,Lab 1,R8253,false,false
E2805,30,Type D,24,2025-01-16,Lab 3,R3254,false,false
E2806,83,Type D,49,2025-03-06,Lab 1,R9457,false,false
E2807,38,Type A,62,2024-06-04,Lab 3,R5020,false,false
E2808,20,Type B,154,2024-07-23,Lab 1,R1864,false,false
E2809,60,Type B,150,2025-05-12,Lab 1,R2872,false,false
E2810,12,Type C,13,2024-11-13,Lab 3,R3794,false,false
E2811,17,Type B,121,2024-08-03,Lab 1,R9629,false,false
E2812,68,Type B,127,2025-03-09,Lab 4,R2542,false,false
E2813,62,Type A,81.9,2025-02-23,Lab 3,R9565,true,false
E2814,28,Type C,42,2024-10-23,Lab 1,R3027,false,false
E2815,19,Type A,64,2024-07-01,Lab 4,R2519,false,false
E2816,50,Type D,139,2025-01-18,Lab 1,R4637,false,false
E2817,61,Type D,83,2024-11-17,Lab 1,R3415,false,false
E2818,81,Type C,163,2024-06-11,Lab 4,R3819,false,false
E2819,61,Type D,173,2024-06-24,Lab 1,R8264,false,false
E2820,23,Type C,83,2025-01-14,Lab 3,R5531,false,false
E2821,50,Type B,3,2024-10-21,Lab 2,R6421,false,false
E2822,8,Type A,12,2024-06-03,Lab 1,R7670,false,false
E2823,96,Type C,189,2024-11-28,Lab 1,R3072,false,false
E2824,83,Type C,461.70000000000005,2024-12-07,Lab 1,R3954,true,true
E2825,34,Type B,145,2024-09-08,Lab 3,R7585,false,false
E2826,93,Type C,110,2024-08-26,Lab 1,R6842,false,false
E2827,87,Type D,57,2024-11-04,Lab 2,R2950,false,false
E2828,25,Type C,135,2025-01-11,Lab 1,R7494,false,false
E2829,79,Type A,12,2024-07-04,Lab 4,R9230,false,false
E2830,7,Type C,136,2025-03-06,Lab 1,R9903,false,false
E2831,78,Type C,29,2024-08-06,Lab 3,R8280,false,false
E2832,79,Type D,156.6,2025-03-11,Lab 4,R2238,true,true
E2833,18,Type B,15,2025-01-26,Lab 3,R8284,false,false
E2834,53,Type B,116,2025-05-04,Lab 3,R8611,false,false
E2835,67,Type D,176,2024-09-25,Lab 2,R6567,false,false
E2836,58,Type B,161,2024-08-04,Lab 2,R9260,false,false
E2837,61,Type B,50,2025-05-24,Lab 3,R6373,false,false
E2838,75,Type D,186,2024-09-18,Lab 4,R8421,false,false
E2839,74,Type B,22,2024-10-31,Lab 2,R2950,false,false
E2840,95,Type B,65,2025-03-08,Lab 3,R9042,false,false
E2841,27,Type B,165.6,2024-08-01,Lab 1,R2906,true,false
E2842,68,Type A,192,2024-12-31,Lab 4,R6441,false,false
E2843,87,Type D,162.9,2025-05-15,Lab 1,R9267,true,false
E2844,49,Type C,16,2025-04-25,Lab 2,R6827,false,false
E2845,73,Type B,127.8,2024-11-09,Lab 1,R1447,true,false
E2846,53,Type C,174.6,2024-10-10,Lab 2,R4376,true,false
E2847,44,Type B,134.1,2025-02-10,Lab 4,R4455,true,false
E2848,24,Type C,77,2024-12-22,Lab 4,R9924,false,false
E2849,19,Type A,564,2024-08-11,Lab 4,R1688,false,true
E2850,74,Type D,136,2025-02-20,Lab 3,R5732,false,false
E2851,59,Type D,155,2025-04-01,Lab 4,R9680,false,false
E2852,62,Type A,64,2025-04-16,Lab 2,R4362,false,false
E2853,21,Type B,36,2025-01-20,Lab 2,R3369,false,false
E2854,83,Type D,94.5,2025-03-19,Lab 4,R3662,true,false
E2855,64,Type C,145.8,2025-04-27,Lab 4,R7271,true,false
E2856,79,Type D,163,2024-12-20,Lab 1,R6766,false,false
E2857,56,Type A,116,2025-05-14,Lab 2,R3751,false,false
E2858,87,Type D,57,2025-03-27,Lab 1,R2958,false,false
E2859,97,Type A,85.5,2025-02-11,Lab 3,R5834,true,false
E2860,40,Type B,144.9,2024-12-07,Lab 1,R7545,true,false
E2861,62,Type B,135,2024-12-14,Lab 3,R2847,false,false
E2862,62,Type D,0,2025-04-10,Lab 2,R1050,false,false
E2863,18,Type C,126,2024-06-20,Lab 1,R4727,false,false
E2864,61,Type A,88,2024-11-22,Lab 3,R6510,false,false
E2865,62,Type C,73,2024-07-17,Lab 3,R9724,false,false
E2866,59,Type A,127,2024-08-31,Lab 2,R9350,false,false
E2867,36,Type D,182,2024-06-13,Lab 3,R7007,false,false
E2868,88,Type D,79.2,2025-04-02,Lab 3,R4849,true,false
E2869,45,Type D,115,2025-05-18,Lab 3,R7570,false,false
E2870,15,Type B,160,2025-02-16,Lab 1,R9718,false,false
E2871,56,Type A,10,2024-07-24,Lab 1,R4726,false,false
E2872,10,Type A,105,2024-07-11,Lab 2,R6537,false,false
E2873,48,Type A,153,2024-06-25,Lab 2,R9830,false,false
E2874,73,Type A,173.70000000000002,2024-07-15,Lab 3,R2770,true,false
